frame_num,player_1_last_player_distance,player_1_total_player_distance,player_2_last_player_distance,player_2_total_player_distance,player_1_number_of_shots,player_1_last_shot_speed,player_1_total_shot_speed,player_2_number_of_shots,player_2_last_shot_speed,player_2_total_shot_speed
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0.04,0.04,0,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0.06,0.1,0,0.0,0.0,0,0.0,0.0
3,0.04,0.04,0.08,0.18,0,0.0,0.0,0,0.0,0.0
4,0.06,0.1,0.04,0.22,0,0.0,0.0,0,0.0,0.0
5,0.08,0.18,0.0,0.22,0,0.0,0.0,0,0.0,0.0
6,0.04,0.22,0.06,0.28,0,0.0,0.0,0,0.0,0.0
7,0.04,0.26,0.0,0.28,0,0.0,0.0,0,0.0,0.0
8,0.0,0.26,0.0,0.28,0,0.0,0.0,0,0.0,0.0
9,0.04,0.3,0.06,0.34,0,0.0,0.0,0,0.0,0.0
10,0.0,0.3,0.08,0.42,0,0.0,0.0,0,0.0,0.0
11,0.0,0.3,0.0,0.42,0,0.0,0.0,0,0.0,0.0
12,0.08,0.38,0.06,0.48,0,0.0,0.0,0,0.0,0.0
13,0.08,0.46,0.12,0.6,0,0.0,0.0,0,0.0,0.0
14,0.08,0.54,0.32,0.92,0,0.0,0.0,0,0.0,0.0
15,0.11,0.65,0.2,1.12,0,0.0,0.0,0,0.0,0.0
16,0.09,0.74,0.21,1.33,0,0.0,0.0,0,0.0,0.0
17,0.16,0.9,0.16,1.49,0,0.0,0.0,0,0.0,0.0
18,0.09,0.99,1.79,3.28,0,0.0,0.0,0,0.0,0.0
19,0.09,1.08,0.74,4.02,0,0.0,0.0,0,0.0,0.0
20,0.04,1.12,1.52,5.54,0,0.0,0.0,0,0.0,0.0
21,0.04,1.16,0.9,6.44,0,0.0,0.0,0,0.0,0.0
22,0.0,1.16,0.31,6.75,0,0.0,0.0,0,0.0,0.0
23,0.04,1.2,0.12,6.87,0,0.0,0.0,0,0.0,0.0
24,0.06,1.26,0.0,6.87,0,0.0,0.0,0,0.0,0.0
25,0.0,1.26,0.04,6.91,0,0.0,0.0,0,0.0,0.0
26,0.0,1.26,0.0,6.91,0,0.0,0.0,0,0.0,0.0
27,0.0,1.26,0.0,6.91,0,0.0,0.0,0,0.0,0.0
28,0.04,1.3,0.04,6.95,0,0.0,0.0,0,0.0,0.0
29,0.0,1.3,0.09,7.04,0,0.0,0.0,0,0.0,0.0
30,0.0,1.3,0.12,7.16,0,0.0,0.0,0,0.0,0.0
31,0.04,1.34,0.2,7.36,0,0.0,0.0,0,0.0,0.0
32,0.0,1.34,0.11,7.47,0,0.0,0.0,0,0.0,0.0
33,0.04,1.38,0.04,7.51,0,0.0,0.0,0,0.0,0.0
34,0.0,1.38,0.04,7.55,0,0.0,0.0,0,0.0,0.0
35,0.04,1.42,0.04,7.59,0,0.0,0.0,0,0.0,0.0
36,0.04,1.46,0.0,7.59,0,0.0,0.0,0,0.0,0.0
37,0.04,1.5,0.08,7.67,0,0.0,0.0,0,0.0,0.0
38,0.08,1.58,0.2,7.87,0,0.0,0.0,0,0.0,0.0
39,0.12,1.7,0.12,7.99,0,0.0,0.0,0,0.0,0.0
40,0.09,1.79,0.17,8.16,0,0.0,0.0,0,0.0,0.0
41,0.24,2.03,0.11,8.27,0,0.0,0.0,0,0.0,0.0
42,0.19,2.22,0.17,8.44,0,0.0,0.0,0,0.0,0.0
43,0.12,2.34,0.11,8.55,0,0.0,0.0,0,0.0,0.0
44,0.06,2.4,0.12,8.67,0,0.0,0.0,0,0.0,0.0
45,0.0,2.4,0.06,8.73,0,0.0,0.0,0,0.0,0.0
46,0.06,2.46,0.06,8.79,0,0.0,0.0,0,0.0,0.0
47,0.04,2.5,0.0,8.79,0,0.0,0.0,0,0.0,0.0
48,0.0,2.5,0.0,8.79,0,0.0,0.0,0,0.0,0.0
49,0.0,2.5,0.08,8.87,0,0.0,0.0,0,0.0,0.0
50,0.04,2.54,0.17,9.04,0,0.0,0.0,0,0.0,0.0
51,0.06,2.6,0.16,9.2,0,0.0,0.0,0,0.0,0.0
52,0.06,2.66,0.2,9.4,0,0.0,0.0,0,0.0,0.0
53,0.04,2.7,0.14,9.54,0,0.0,0.0,0,0.0,0.0
54,0.12,2.82,0.12,9.66,0,0.0,0.0,0,0.0,0.0
55,0.06,2.88,0.14,9.8,0,0.0,0.0,0,0.0,0.0
56,0.06,2.94,0.25,10.05,0,0.0,0.0,0,0.0,0.0
